Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
The Boiling Harbour,CASUAL DINING,,,"3175 Rutherford Road, #17, Vaughan L4K 5Y6","Seafood, Cajun",,Vaughan
Tandoori Time,CASUAL DINING,3.4,9.0,"Norwood Plaza, 9699 Jane Street, Vaughan L6A 0A5","Indian, Pakistani",35.0,Vaughan
Avlyn Gardens,CASUAL DINING,3.4,9.0,"10503 Islington Avenue, Kleinburg, Vaughan",Italian,80.0,Vaughan
Teresa's Ristorante,CASUAL DINING,3.6,14.0,"9720 Dufferin Street, Unit 1, Vaughan",Italian,60.0,Vaughan
Sen Sushi,CASUAL DINING,3.6,12.0,"2338 Major Mackenzie Drive West, Vaughan",Japanese,40.0,Vaughan
Maple Bakery Inc,QUICK BITES,3.7,7.0,"10040 Keele Street, Vaughan","Bakery, Desserts",20.0,Vaughan
Villa Madina,QUICK BITES,3.0,14.0,"Vaughan Mills Mall, Food Court, 1 Bass Pro Mills Drive, Vaughan L4K 5W4",Mediterranean,25.0,Vaughan
Kotsy's,CASUAL DINING,3.4,9.0,"2104 Ontario highway 7, Vaughan",Diner,20.0,Vaughan
Flavours Of Italy,CASUAL DINING,3.5,7.0,"2104 Highway 7, Vaughan","Italian, Mediterranean",25.0,Vaughan
Colaba,CASUAL DINING,3.5,10.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Vaughan",Indian,60.0,Vaughan
Astoria Shish Kebob House,CASUAL DINING,2.9,7.0,"3300 Rutherford Road, Vaughan","Greek, Kebab",50.0,Vaughan
Aster Garden,CASUAL DINING,3.6,10.0,"8575 Keele Street, Vaughan L4K 2N1",Chinese,20.0,Vaughan
McDonald's,QUICK BITES,2.6,9.0,"Mackenzie Glen Square, 2810 Major Mackenzie Drive, Vaughan",Fast Food,25.0,Vaughan
Coffee Culture,CAFÉ,3.2,8.0,"10037 Keele Street, Vaughan",Cafe,20.0,Vaughan
Galina's BBQ,CASUAL DINING,3.4,11.0,"11399 Keele Street, Unit 7, Maple L6A 4E1","Portuguese, European",30.0,Vaughan
TBG's Balkan Steakhouse,CASUAL DINING,3.2,6.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 17, Vaughan","Steak, European",40.0,Vaughan
Nguyen Huong,QUICK BITES,3.5,8.0,"3255 Rutherford Road, Unit 45, Vaughan","Vietnamese, Asian",10.0,Vaughan
Dolcini,BAKERY,3.0,8.0,"10462 Islington Avenue, Vaughan","Desserts, Bakery, Cafe",15.0,Vaughan
D&E Burgers and Poutines,QUICK BITES,,,"167 Applewood Crescent, Unit 1, Vaughan","Fast Food, Burger",25.0,Vaughan
Pho Mi Viet Thai,CASUAL DINING,3.1,7.0,"2354 Major Mackenzie Drive, Vaughan","Thai, Vietnamese, Asian",30.0,Vaughan
Anoush,QUICK BITES,3.6,10.0,"90 Edgeley Boulevard, Unit 5, Vaughan L4K 5W7",Middle Eastern,25.0,Vaughan
Mr. Zagros,QUICK BITES,3.5,5.0,"525 Cityview Unit 7, Vaughan",Mediterranean,25.0,Vaughan
Pho Vaughan,CASUAL DINING,3.5,12.0,"9421 Jane Street, Unit 119, Vaughan","Vietnamese, Asian",50.0,Vaughan
Cabano's Comfort Food,QUICK BITES,,,8635 Keele Street,Sandwich,20.0,Vaughan
Angelo's Homestyle Restaurant,CASUAL DINING,3.6,8.0,"3300 Steeles Avenue West, Vaughan",Middle Eastern,30.0,Vaughan
Tortine & Vanille,BAKERY,,,"10489 Islington Ave, Kleinburg","Desserts, European, Ice Cream",15.0,Vaughan
Wild Wing,CASUAL DINING,3.2,8.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Vaughan",Bar Food,50.0,Vaughan
XXI ChopHouse,CASUAL DINING,,,"21 Nashville Road, Kleinburg, Vaughan L0J 1C0",Steak,110.0,Vaughan
Popular Pizza,QUICK BITES,3.6,7.0,"Peace Plaza, 9699 Jane Street, Vaughan","Pizza, Fast Food",30.0,Vaughan
Taco Bell,QUICK BITES,2.7,8.0,"Vaughan Mills Mall, Food Court, 1 Bass Pro Mills Drive, Vaughan","Fast Food, Mexican",20.0,Vaughan
Brookelynn Bistro,CASUAL DINING,3.2,4.0,"Maplewood Plaza, 9300 Keele Street, Suite 6 L6A 1P4","Canadian, Bar Food",25.0,Vaughan
Tosto Quickfire Pizza Pasta,CASUAL DINING,3.3,4.0,"11 Jacob Keffer Parkway, Concord L4K 5N8","Italian, Pizza",25.0,Vaughan
A & W,QUICK BITES,,,"2267 Highway West, Vaughan","Burger, Fast Food",25.0,Vaughan
Popeyes,QUICK BITES,3.3,9.0,"9100 Jane Street, Unit 70, Vaughan",Fast Food,25.0,Vaughan
Jim & Garry's Pub,FINE DINING,3.4,7.0,"Inside Eagles Nest Golf Club, 10000 Dufferin Street, Vaughan",Middle Eastern,100.0,Vaughan
Pita Land,QUICK BITES,3.3,5.0,"9781 Jane Street, Unit 2B, Vaughan",Middle Eastern,30.0,Vaughan
Crepe de Licious,CAFÉ,3.1,6.0,"Vaughan Mills Mall, 1 Bass Pro Mills Drive, Vaughan","Cafe, Desserts",20.0,Vaughan
Mr. Souvlaki,QUICK BITES,3.5,6.0,"7575 Keele street, Vaughan","Greek, Fast Food",20.0,Vaughan
Menchie's,DESSERT PARLOR,3.6,8.0,"Weston Downs Shopping Village, 3883 Weston Road, Vaughan",Frozen Yogurt,15.0,Vaughan
Pizza Nova,QUICK BITES,3.7,6.0,"Finch Centre, 2535 Major Mackenzie Drive, Vaughan","Pizza, Fast Food",30.0,Vaughan
Dawn Breakfast Grill,CASUAL DINING,3.3,4.0,"3550 Rutherford Road, Vaughan LH4 2J3","American, Diner",30.0,Vaughan
Burger Factory,QUICK BITES,3.2,5.0,"3255 Rutherford Rd, Vaughan L4K 5Y5","Burger, Fast Food",20.0,Vaughan
Laterna Restaurant,CASUAL DINING,3.7,5.0,"445 Edgeley Boulevard, Unit 9, Vaughan",Italian,30.0,Vaughan
Pho Anh,CASUAL DINING,,,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 39, Vaughan","Vietnamese, Asian",35.0,Vaughan
Pizza Pizza,QUICK BITES,3.0,8.0,"2953 Major Mackenzie Drive, Unit 1, Vaughan","Pizza, Fast Food",25.0,Vaughan
Panera Bread,CAFÉ,,,16 Famous Avenue,"Cafe, Sandwich",30.0,Vaughan
Five Guys,QUICK BITES,3.2,7.0,"SmartCentres Vaughan Northwest, 3582 Major Mackenzie Drive, Unit 1, Vaughan","Fast Food, Burger",25.0,Vaughan
Cultures,QUICK BITES,2.7,5.0,"Vaughan Mills Mall, Food Court, 1 Bass Pro Mills Drive, Vaughan","Healthy Food, Sandwich",25.0,Vaughan
The Captain's Boil,CASUAL DINING,,,"3255 Rutherford Road Unit 7-9, Vaughan, Toronto L4K 5Y5","Cajun, Seafood",30.0,Vaughan
MariaTina Osteria,CASUAL DINING,3.9,5.0,"20 Rivermede Road, Vaughan",Italian,30.0,Vaughan
Wendy's,FAST FOOD,3.0,7.0,9151 Keele Street,"Fast Food, Burger",20.0,Vaughan
Ivy Social Club,Other,3.6,5.0,"80 Interchange Way, Vaughan",Mediterranean,80.0,Vaughan
Thai Island,Other,2.6,4.0,"Vaughan Mills Mall, Food Court, 1 Bass Pro Mills Drive, Vaughan","Thai, Asian",25.0,Vaughan
Tim Hortons,CAFÉ,2.8,5.0,9200 Weston Road,"American, Donuts, Desserts",20.0,Vaughan
Domino's,QUICK BITES,3.4,7.0,"9505 Keele Street, Vaughan","Fast Food, Pizza",25.0,Vaughan
Jugo Juice,BEVERAGE SHOP,3.5,4.0,"Vaughan Mills Mall, 1 Bass Pro Mills Drive, Vaughan","Juices, Beverages",20.0,Vaughan
Gagan Sweets,QUICK BITES,,,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 43, Vaughan",Indian,25.0,Vaughan
The Barrel,BAR,3.3,5.0,"2180 Steeles Avenue West, Vaughan",Bar Food,50.0,Vaughan
L.A. Boil Seafood,CASUAL DINING,,,1520 Steeles Avenue W #102 L4K 3B9,Seafood,,Vaughan
Hero Certified Burgers,QUICK BITES,,,"9781 Jane Street, Unit 4, Vaughan","Burger, Sandwich",25.0,Vaughan
Sweet Obsessions,BAKERY,,,"390 Edgeley Boulevard, Unit 21, Vaughan","Bakery, Desserts",15.0,Vaughan
Dairy Queen Grill & Chill,FAST FOOD,3.4,5.0,9280 Keele Street,"Ice Cream, Desserts, Fast Food",20.0,Vaughan
Tre Vigne,CASUAL DINING,,,"7800 Jane Street, Unit 7, Vaughan",Italian,50.0,Vaughan
Pho T & T,CASUAL DINING,3.4,4.0,"8481 Keele Street, Vaughan","Vietnamese, Asian",25.0,Vaughan
Teriyaki Experience,QUICK BITES,,,"Vaughan City Centre, 3120 Rutherford Road, Vaughan",Japanese,20.0,Vaughan
LimeLite Cafe,CASUAL DINING,,,"8540 Keele Street, Vaughan","Continental, Patisserie",30.0,Vaughan
Harvey's,QUICK BITES,,,"Amville Centre, 9222 Keele Street, Vaughan","Fast Food, Canadian, Burger",25.0,Vaughan
The Bistro - Copper Creek Golf Course,CASUAL DINING,3.5,4.0,"Copper Creek, 11191 Highway 27, Vaughan",Canadian,35.0,Vaughan
