,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
124,Wonton Chai Noodle,QUICK BITES,3.9,31.0,4400 Sheppard Avenue East,Chinese,30.0,Scarborough
125,Patisserie Royale,DESSERT PARLOR,3.9,20.0,1415 Kennedy Road,Desserts,25.0,Scarborough
126,Ibrahim BBQ,QUICK BITES,3.2,25.0,1967 Lawrence Avenue East,Middle Eastern,20.0,Scarborough
127,Super Hakka,CASUAL DINING,3.6,26.0,1801 Lawrence Avenue E,Chinese,30.0,Scarborough
128,Chef George Manileneos Cuisine,CASUAL DINING,3.2,11.0,1519 Birchmount Road,Filipino,30.0,Scarborough
129,Ga Bin Korean Restaurant,CASUAL DINING,3.5,28.0,633 Silver Star Boulevard,Korean,35.0,Scarborough
130,Lotus Pond Vegetarian Restaurant,CASUAL DINING,3.8,31.0,3838 Midland Avenue,Chinese,30.0,Scarborough
131,Drupati's,QUICK BITES,3.6,35.0,1085 Bellamy Road,Caribbean,20.0,Scarborough
132,A1 Sweets,CASUAL DINING,3.8,35.0,3300 McNicoll Avenue,Indian,20.0,Scarborough
133,Boston Pizza,CASUAL DINING,3.1,29.0,400 Progress Avenue,American,40.0,Scarborough
134,Ninja Sushi,QUICK BITES,3.9,33.0,395 Bamburgh Circle,Japanese,25.0,Scarborough
135,Szechuan Legend,CASUAL DINING,3.6,26.0,3280 Midland Avenue,Chinese,25.0,Scarborough
136,Caribbean Jerk House,QUICK BITES,3.2,17.0,31 Tapscott Road,Caribbean,20.0,Scarborough
137,Lucky Chinese,CASUAL DINING,3.2,36.0,3774 Lawrence Avenue E,Chinese,30.0,Scarborough
138,Kandahar Kabab,QUICK BITES,3.2,22.0,2307 Markham Road,Afghan,45.0,Scarborough
139,ACR Hot Roti & Doubles,QUICK BITES,3.9,29.0,2680 Lawrence Avenue E,Trinbagonian,15.0,Scarborough
140,Hopper Hut,CASUAL DINING,3.9,21.0,880 Ellesmere Road,Sri Lankan,30.0,Scarborough
141,Noodle Delight,QUICK BITES,3.4,38.0,2555 Victoria Park Avenue,Chinese,25.0,Scarborough
142,New Northern Dumplings,CASUAL DINING,3.5,8.0,633 Silver Star Boulevard,Northern Chinese,30.0,Scarborough
143,Blackhorn Steakhouse,CASUAL DINING,3.9,26.0,251 Ellesmere Road,Steakhousehouse,50.0,Scarborough
144,Shirin Kebab House,CASUAL DINING,3.7,20.0,1880 Eglinton Avenue E,Turkish,35.0,Scarborough
145,Incheon House,CASUAL DINING,3.7,29.0,9 Glen Watford Drive,Korean,30.0,Scarborough
146,Embassy Restaurant,QUICK BITES,3.8,28.0,5210 Finch Avenue E,Sri Lankan,35.0,Scarborough
147,Casa Deluz Banquet Hall,CASUAL DINING,3.4,10.0,1571 Sandhurst Circle,Chinese,70.0,Scarborough
148,Ding Ho,CASUAL DINING,3.9,25.0,2873 Lawrence Ave E,Chinese,25.0,Scarborough
149,St. Louis Bar And Grill,CASUAL DINING,3.6,32.0,55 Town Centre Court Unit 101,Bar Food,40.0,Scarborough
150,Cora's Breakfast & Lunch,CASUAL DINING,3.7,27.0,45 Milner Avenue,Diner,35.0,Scarborough
151,Wings & Wings,QUICK BITES,3.8,23.0,1185 Brimley Road,Fast Food,20.0,Scarborough
152,Working Dog Saloon,CASUAL DINING,3.8,38.0,3676 St. Clair Avenue East,American,40.0,Scarborough
153,Ni-Ji Sushi,CASUAL DINING,3.4,18.0,1095 Ellesmere Road,Japanese,30.0,Scarborough
154,Sushi Legend,CASUAL DINING,3.0,13.0,175 Commander Boulevard,Japanese,55.0,Scarborough
155,Mermaid Fish & Grill House,CASUAL DINING,3.5,12.0,1748 Lawrence Avenue East,British,30.0,Scarborough
156,Royale Fine Dining,CASUAL DINING,3.4,11.0,648 Silver Star Boulevard,Chinese,45.0,Scarborough
157,Deer Garden Signatures,CASUAL DINING,3.5,13.0,633 Silver Street Boulevard,Chinese,20.0,Scarborough
158,Swiss Chalet,CASUAL DINING,3.2,13.0,2555 Victoria Park Avenue,American,40.0,Scarborough
